,Name,City,Cuisine Style,Rating,Price Range,Number of Reviews,Reviews
4441,LE BHV MARAIS,Paris,,4.0,,30.0,Nice shopping place - Lovely atmosphere
4442,Au Bon Coin,Paris,French,4.0,$$ - $$$,66.0,Very good food - nice personnel - very good restaurant
4443,Natives,Paris,Vegetarian Friendly,4.5,$$ - $$$,23.0,BEST POKÉ IN PARIS! - Average - not cheap (14EUR)
4444,Le Oulala,Paris,Italian - Pizza - Mediterranean - Vegetarian Friendly - Halal,3.5,$$ - $$$,185.0,Decent Italian food - good service - Rotten and Racist
4445,Au The Gourmand,Paris,French - Soups,4.5,$,28.0,the bestest lemon meringue this side of Ke
4446,Le Bistrot des Dames,Paris,French - European,3.5,$$ - $$$,417.0,An intimate place - Local bistro - nice staff
4447,Thai Panthong,Paris,Asian - Thai,4.5,$$ - $$$,52.0,Poor not fresh - Great value for money
4448,Casa Dagusto,Paris,Central American,4.0,$$ - $$$,39.0,Viva Colombian food - Really like a Colombian restaurant in Pari
4449,L'Armagnac,Paris,French - Bar - European,4.0,$$ - $$$,115.0,Popular place with great food - Average
4450,Au Coin de Malte,Paris,French,4.5,$,22.0,Great value in a cosy restaurant - What a lucky find
4451,Cafe Barjot,Paris,French - European,3.5,$$ - $$$,296.0,Good French food - Another Enjoyable Visit
4452,Samina,Paris,Indian - Vegetarian Friendly - Vegan Options,4.0,$$ - $$$,84.0,Autentic indian restaurant in Paris - Halal and Vegetarian Friendly
4453,Le Club des 5,Paris,French - Bar - European - Pub,3.5,$$ - $$$,389.0,Too crowded but very enjoyable atmosphere - Perfect Cordon Bleu!
4454,Bistro Urbain,Paris,French - European,4.0,$$ - $$$,145.0,Good food  - Good service - Behnaz
4455,A La Grande Bleue,Paris,Mediterranean,4.5,$$ - $$$,58.0,Excellent food and service - Delicious food and friendly service
4456,Maison Souquet,Paris,,4.5,,28.0,Stunning decor - Oriental gem in the heart of Paris
4457,Comme sur une ile,Paris,International,4.5,$$ - $$$,69.0,Best of Mauritius - Cute little place with good atmosphere
4458,Aux vins coeurs,Paris,,5.0,,18.0,very helpful proprietor
4459,Mytho,Paris,Asian - Vietnamese,4.5,$,46.0,CRISPY PORK BELLY - Vietnamese food like you dont get in Viet
4460,Thai-Lao,Paris,Asian - Thai,4.0,$$ - $$$,62.0,Fantastic - Excellent Thai
4461,Pastapapa,Paris,Italian - European - Pizza - Mediterranean - Vegetarian Friendly,4.0,$$ - $$$,181.0,Cheap and cheerful  - nice food - Prepared not to like
4462,Maison des trois thes,Paris,,4.5,,74.0,Waauw! Wonderfull tea experience
4463,Pizza Vesuvio,Paris,Italian - Pizza - European - Vegetarian Friendly,3.5,$$ - $$$,396.0,Not so bad - - Real Italian Pizza
4464,IT Italian Trattoria,Paris,Italian - Pizza - Mediterranean - European - Vegetarian Friendly,3.5,$$ - $$$,312.0,Much appreciated after a movie - Fine Tiramisu
4465,La Chinoiserie,Paris,French - European - Fusion,4.0,$$$$,76.0,Excellent - A beautiful skylight
4466,Le Coude Fou,Paris,French - European,3.5,$$ - $$$,422.0,Great place for a drink - Delicious food - great menu
4467,L'Eclaireur X Mancora,Paris,Peruvian - South American,5.0,,10.0,Breathtaking - Best Cebiches in Paris!
4468,Le Bar a Bulles,Paris,,4.0,,84.0,Drinking on the top of the Moulin Rouge - Nice place for drinks with friends
4469,Comice,Paris,French,5.0,$$$$,9.0,Delicious night out in Paris with friends - Comice - élégant - convivial - enchanting
4470,La Focaccia,Paris,Italian - Pizza - European - Vegetarian Friendly,4.0,$$ - $$$,120.0,Lovely lunch - Small but nice
4471,GOLDEN FOOD,Paris,Fast Food,4.5,$,40.0,Yummy!!! - Nice food - great prices
4472,Aux Ministeres,Paris,French - Bar - European - Pub,4.0,$$ - $$$,45.0,Decent - honest local food - Local - Fresh and Welcoming!
4473,L'Ecluse Francois 1er,Paris,French - European - Wine Bar,5.0,$$ - $$$,9.0,Great little French wine bar
4474,Carajas,Paris,Brazilian - Latin - South American,4.0,$$ - $$$,69.0,Very good food - Brazilian family type restaurant
4475,Delfino,Paris,Italian,4.0,$$ - $$$,58.0,Great restaurant & excellent service - An excellent - friendly - and unpretentious
4476,Fuxia,Paris,Italian - Mediterranean,4.0,$$ - $$$,52.0,Enjoying the good food - Great spot for a nice lunch
4477,Le Mademoiselle,Paris,French,4.0,,50.0,Cyre - EXCELLENT COCKTAILS!
4478,L'Estaminet,Paris,Wine Bar - French - Brew Pub - European - Gastropub,4.0,$$ - $$$,292.0,Simple and tasty food! - Nice food and atmosphere
4479,Bar du Central,Paris,French - Bar - European,4.0,$$ - $$$,156.0,This is a solid neighborhood restaurant - Fantastic Food - Fun Atmosphere
4480,Atelier Fratelli,Paris,Italian - Street Food,4.5,$$ - $$$,21.0,More Italian saturation
4481,Rotisserie Ang,Paris,,4.5,,38.0,Superb roast pork - Best roast ducks in Paris 13
4482,L'Affiche,Paris,French - European - Bar - Pub,4.0,$$ - $$$,75.0,Nice place with nice dishes - Fantastic little Bistro
4483,Chez Bebert,Paris,Moroccan - Mediterranean - Middle Eastern - Tunisian - Vegetarian Friendly - Halal,3.5,$$ - $$$,909.0,Second visit to one of the best Moroccan r
4484,La Table Verte,Paris,Delicatessen - Vegetarian Friendly,4.5,$$ - $$$,37.0,Verte Vegetarian is this restos eating cui
4485,Dokkun Thai,Paris,Asian - Thai,4.0,$$ - $$$,68.0,Best thai food Ive had! - Average thai eatery
4486,Le Mecano Bar,Paris,,3.5,,115.0,Fab little bar for late night beyonce danc
4487,Cantine Vagabonde,Paris,Healthy - Vegetarian Friendly,4.5,$$ - $$$,47.0,Veggie but pricey - Organic - Vegetarian - Tasty and Nicely Pric
4488,Les Bistronautes,Paris,French - European - Vegetarian Friendly,4.0,$$ - $$$,139.0,Quaint - Main dish was so -so - dessert made up for i
4489,Le Languedoc,Paris,French - European,4.0,$$ - $$$,125.0,Good Home Cooking - Perfect First time Parisian Dining Experi
4490,Il Cuoco Galante,Paris,Italian,4.0,$$ - $$$,32.0,Amazing! - Amazing find
4491,Le Verbalon,Paris,,4.0,,96.0,OMG Amazing - Excellent
4492,Samo,Paris,Asian - Korean,4.0,$$ - $$$,76.0,A nice change - Best service people very friendly good foo
4493,Itadaki,Paris,Japanese - Sushi,4.0,$$ - $$$,59.0,Will continue to be a regular haunt in Par
4494,La Cantine du 18,Paris,French,4.0,$,123.0,Very friendly staff and delicious meal! - Charming place
4495,Le Repaire,Paris,French,4.0,$,41.0,Great cafe for lunch - A great little find near the Promenade Pla
4496,Cafe Marcel,Paris,French,4.0,$$ - $$$,94.0,Real French - Great place for a drink - meal or both
4497,Cafe Lourmel,Paris,French,4.0,$$ - $$$,36.0,Not the best - but still worthwhile - The very best in neighborhood\ restaurant
4498,Les Allobroges,Paris,French,4.0,$$$$,157.0,Very cozy and tasty! - Excellent food - warm welcome - but a bit sl
4499,Chez Vong,Paris,Chinese - Asian - Vegetarian Friendly,3.5,$$$$,290.0,Very good
4500,Les Grandes Bouches,Paris,French - European,4.0,$$$$,99.0,Je vous propose - Fantastic evening!
4501,Domenico,Paris,Italian - European - Pizza - Vegetarian Friendly,4.0,$$ - $$$,142.0,Excellent Food - Very good meal in Paris
4502,Chez Papa,Paris,French - Delicatessen,4.0,$$ - $$$,65.0,A very good meal from the South West of Fr
4503,Terra Mia,Paris,Italian,5.0,$$ - $$$,8.0,
4504,Restaurant Adria,Paris,,5.0,,8.0,Amazing restaurant
4505,Bubbolitas,Paris,,4.0,,57.0,Excellent bubble tea - Best Bubble Tea in Paris - plus cheesecake
4506,Da Margherita,Paris,Italian - Pizza,4.5,$,58.0,Excellent pizza - Good Italian
4507,Brooklyn Cafe,Paris,American,4.0,$$ - $$$,162.0,Good late night spot - Good dishes
4508,Ayothaya,Paris,Asian - Thai,4.0,$$ - $$$,38.0,Great flavors!! - Ate a quick lunch
4509,Le Bistrot du Poinconneur,Paris,French,4.0,$$ - $$$,61.0,Perfect Evening - we just tried
4510,Trattoria Di Augustino,Paris,Italian,4.0,$$ - $$$,36.0,Very good! - Good food and atmosphere
4511,L'assiette Gourmande,Paris,,5.0,,15.0,
4512,Le Roi de Pique,Paris,,4.0,,58.0,Locals are here - Nice dinner!
4513,Hana Bento,Paris,,5.0,,13.0,Japanese Restaurant for fast lunch - One of the best bento I have tried recentl
4514,Park Avenue,Paris,Bar - Gastropub,4.0,$$ - $$$,89.0,Nice dinner - Beer with friends
4515,El Fares,Paris,Lebanese - Mediterranean - Middle Eastern,4.0,$$ - $$$,80.0,Excellent Neighbourhood Lebanese! - Fantastic place to eat!
4516,Bo Man Cafe,Paris,French - Bar - Cafe - European,3.5,$$ - $$$,329.0,Food good - but too many smokers - Local Flavor
4517,Yogis Bar,Paris,Fusion - Street Food - American - Cafe - Vegetarian Friendly - Vegan Options,5.0,$,26.0,Best place in Mama! - Good and cheap
4518,Exki,Paris,Fast Food - Soups,4.0,$,61.0,Perfect lunch place! - You can test best hot chocolate here
4519,Le P'Tit Chouan,Paris,,4.5,,59.0,Amazing typical place
4520,Chef Elias Fares,Paris,Lebanese - Mediterranean,4.5,$$ - $$$,35.0,Excellent!
4521,Restaurant La Recyclerie,Paris,French - International - Vegetarian Friendly - Vegan Options - Gluten Free Options,3.5,$$ - $$$,411.0,Interesting place in an old railway statio
4522,Wally le Saharien,Paris,Moroccan,4.0,$$ - $$$,77.0,Sublime couscous !! - Lovely restaurant
4523,Bombay Curry,Paris,Indian - Vegetarian Friendly,4.0,$$ - $$$,64.0,Very good Indian in Paris - Great Indian in Paris
4524,La Baze,Paris,,5.0,,17.0,Quiet and accommodating
4525,Nos Ancetres Les Gaulois,Paris,French,3.5,$$ - $$$,1157.0,funny experience - Historical flair
4526,Le Cafe De Pauline,Paris,French - Bar - European,3.5,$$ - $$$,154.0,Perfect if youve not packed a picnic for
4527,Le Bistro de Montmartre,Paris,French - European,4.0,$$ - $$$,48.0,Very good - Excellent menu reasonably priced great ser
4528,Le Bal Cafe,Paris,Cafe - European - Contemporary - Vegetarian Friendly,4.0,$$ - $$$,84.0,Delicious food with an Austrian twist! - Brilliant Brunch!
4529,hangari,Paris,Asian - Korean,4.0,$$ - $$$,72.0,Good enough value - Was just average - kimchi was tasteless
4530,Le Cambodge 12eme,Paris,Asian - Vietnamese - Cambodian,4.5,$,37.0,average SE Asian food - Good food and open late
4531,Bottles,Paris,French - European - Wine Bar - Spanish,4.0,$$ - $$$,53.0,Fab wine bar - Great vibes - food and service
4532,santa lucia,Paris,Italian - Pizza - European,4.0,$$ - $$$,95.0,Italy in Paris - Great pizza!
4533,Le P'tit Breton,Paris,,4.5,,25.0,Excellent food - great staff - awesome price
4534,Spirit Cafe,Paris,Thai,4.0,$,51.0,A good address for a Thai curry - Profoundly good!
4535,Le Galliera,Paris,French - European - Vegetarian Friendly,4.0,$$ - $$$,110.0,Great Food and good Location - very friendly and good brasserie
4536,Galerie 88,Paris,Mediterranean - Healthy - Vegetarian Friendly - Vegan Options,4.0,$,133.0,Great little spot in Paris - Healthy and fresh food!
4537,IMA,Paris,Cafe - Fast Food - Mediterranean - Israeli - Vegetarian Friendly - Vegan Options,4.0,$$ - $$$,51.0,Good veggie food - Oriental - original - zen
4538,Chez Nous2,Paris,French,4.5,$$ - $$$,20.0,Epic food - comfortable atmosphere and frie
4539,Aloy Aloy,Paris,Asian - Thai - Vegetarian Friendly,4.0,$$ - $$$,159.0,Good Choice for a Relaxing Dinner - Decent food - poor service
4540,Reflets de Scene,Paris,French - European,4.0,$$ - $$$,94.0,Great Little Find - Great food and super accommodating!
4541,Chez Shen,Paris,Chinese - Asian,4.0,$,107.0,Decent - Decent food
4542,Le Vavin,Paris,French - Bar - Cafe - European,3.5,$$ - $$$,142.0,Just another Cafee - Neighborhood Cafe
4543,Chez Colette,Paris,French,5.0,$,29.0,intimate - local and great - Excellent homemade meals and takeout betwe
4544,Chez Van,Paris,Chinese - Asian,3.5,$,145.0,Cheap option !! - Disappointing
4545,Le Bar Fleuri,Paris,French,4.0,$,32.0,Really Basic - really cheap - old school atm
4546,Mamie Burger Bonne Nouvelle,Paris,French - American,4.0,$$ - $$$,43.0,Best Brekkie
4547,Chez Fred,Paris,French - Fast Food - European,4.0,$$ - $$$,125.0,local great service - Disappointing
4548,Le Bellerive,Paris,French - Bar - Cafe - European - Vegetarian Friendly,3.5,$$ - $$$,166.0,Not as expected - Cozy Place and Decent Food
4549,Navy Pub,Paris,French - Bar - European,4.0,$$ - $$$,37.0,Easy going and friendly - Good simple brasserie
4550,Wako 10e,Paris,,4.5,,40.0,Best sushi in the neighbourhood - Very good - very quick
4551,Le Granite,Paris,French - Chinese,4.0,$$ - $$$,107.0,Wonderful Franco -Chinois Restaurant - The best Brunch of Paris
4552,Belushi's Gare du Nord,Paris,American - Bar - Pub - International,4.0,$$ - $$$,204.0,Not bad at all - Wales pre match party
4553,Kosyuen,Paris,Japanese,4.0,$,37.0,Transported back to Japan!! - A charming place with dôme gold vibes
4554,Au Village des Ternes,Paris,French - Grill - Wine Bar,4.5,$$ - $$$,47.0,Wonderful local bar with friendly service - Late night food
4555,La Table Marocaine du XVe,Paris,Moroccan - Mediterranean,4.0,$$ - $$$,70.0,A lovely lunch - amazing
4556,Oggi,Paris,Italian - Pizza - European,4.0,$$ - $$$,124.0,Really nice place - Good but interesting spins on Italian food
4557,Cafe du Cadran,Paris,French - Bar - Cafe - European,4.0,$$ - $$$,125.0,Our Local - Nice - in the elegant hearth of Paris
4558,DONATO,Paris,Italian - Pizza - Mediterranean - European - Vegetarian Friendly,4.0,$$ - $$$,91.0,Good Pizza - Worst place i have been in Paris so far
4559,Le Faubourg 34,Paris,French - European - Vegetarian Friendly,4.0,$$ - $$$,246.0,Nice brasserie with typical French food - Classic corner Bistro
4560,L'equilibre,Paris,Delicatessen,5.0,$,17.0,My favorite healthy & tasty place in Paris
4561,O Zincontournables,Paris,French - Bar - European - Wine Bar,4.0,$$ - $$$,91.0,Nice dinner - Excellent tapas and wine
4562,la pizzetta,Paris,Italian - Pizza - European - Vegetarian Friendly,3.5,$$ - $$$,164.0,Good food - You know who wants you to eat at La Pizzet
4563,Benson Kfe,Paris,,4.5,,28.0,The best burger we ever had - Great Food and Service
4564,Bululu Arepera,Paris,Latin - Venezuelan - Central American - South American,4.0,$,95.0,Great food for decent price - Extraordinary
4565,Bistronomie Les Frangins,Paris,French,4.5,$$ - $$$,19.0,
4566,Le Bistrot du Louchebem,Paris,French - Steakhouse - European - Delicatessen - Grill - Gastropub,3.5,$$ - $$$,186.0,Bone marrow amazing - Recommended by my host but turned out to b
4567,Maison Wok,Paris,Chinese,4.0,$$ - $$$,49.0,It worths a try - Cheap good food
4568,Chez Suzette Creperie,Paris,French - European - Vegetarian Friendly,4.0,$,71.0,Tasty sweet crepe - Not as good as it used to be
4569,Le Banquier,Paris,French - Moroccan - Mediterranean,4.5,$,53.0,Great find - Wow
4570,Noura Marceau,Paris,Lebanese - Mediterranean - Middle Eastern - Vegetarian Friendly - Vegan Options - Halal,3.5,$$ - $$$,305.0,Great mezze - Nice lunch spot
4571,Le Filao,Paris,Cajun & Creole,4.5,$,23.0,Biryani like at home - Good Mauritain food in Paris
4572,231 East Street,Paris,American - Fast Food,4.0,$,141.0,Very good burger - Good burgers
4573,Cafe la Tour Du Temple,Paris,French - Bar - Cafe - European - Vegetarian Friendly,4.0,$$ - $$$,155.0,We loved everything we ordered - Good food
4574,il castello,Paris,Italian - Mediterranean,4.0,$,64.0,Real Italian - Pizza joint
4575,Ni Vu Ni Connu,Paris,French - Wine Bar,4.0,$$ - $$$,56.0,Decent food let down by dessert - Lovely food
4576,Chez Prout.,Paris,French,4.0,$$ - $$$,53.0,Eat at the bar
4577,Chez Nagi,Paris,Lebanese - Mediterranean - Middle Eastern,4.5,$$ - $$$,78.0,Excellent Lebanese Cuisine at Reasonable P
4578,Chez Leon,Paris,French,3.5,$$ - $$$,105.0,an old but friendly family - local restaura
4579,Visconti,Paris,Italian - Mediterranean - European - Vegetarian Friendly,4.0,$$ - $$$,214.0,Nice food but a bit expensive - Nice !
4580,La Guinguette D'Angele,Paris,Healthy - Vegetarian Friendly - Vegan Options - Gluten Free Options,4.5,$$ - $$$,22.0,
4581,Dilettantes,Paris,French - Wine Bar,4.5,$$ - $$$,48.0,Champagne Tasting - An unpolished jewel
4582,LE Laborde,Paris,French - Steakhouse,4.5,$$ - $$$,40.0,Simply great meat - Best find in Paris so far
4583,Isami Zushi,Paris,Japanese - Sushi - Asian,4.0,$$$$,135.0,Very good and fresh sushi - One of the Top 5 Sushi Chef of Paris
4584,Vin Et Whisky Maison Claudel,Paris,Wine Bar,5.0,$$ - $$$,20.0,More than a pleasant surprise  - next block
4585,Beaucoup,Paris,French - European - Vegetarian Friendly,3.5,$$ - $$$,441.0,Still needs improvement - Good Food - wines and Ambiance
4586,Croissanterie La,Paris,French - Cafe,4.0,$,64.0,Coffee and croissant at great prices - cheap breakfast
4587,La Petite Venise,Paris,Italian - Pizza,4.0,$,55.0,A small - and pleasant - slice of Italy - a taste of sicily!
4588,Formidable,Paris,,4.0,,22.0,Good quick stop! - Cozy and kind staff!
4589,Cappadoce,Paris,Turkish,4.0,$$ - $$$,73.0,Great Turkish food - Merhaba ! Welcome to Turkey
4590,Loyo,Paris,Turkish,4.5,$$ - $$$,39.0,Loyo? More like YOLO - Excellent food - warm and cozy atmosphere
4591,Le Cafe Gourmand,Paris,French - European - Vegetarian Friendly,4.5,$$ - $$$,88.0,Tasty breakfast - Café of the morning calm
4592,Le Bar du Normandy - Hotel Normandy,Paris,,4.0,,59.0,Reasonable prices but great service - Great location
4593,Bleu Olive,Paris,French - Fast Food - Healthy,5.0,$$ - $$$,13.0,Nice place - friendly owner - great coffee
4594,CHEZ HIPOLENE,Paris,French - Delicatessen,4.5,$,36.0,Fresh - Seasonal - Delicious! - Delightful food wonderfully presented
4595,Le Circus,Paris,French - Bar - European - Vegetarian Friendly,3.5,$$ - $$$,118.0,The best croissants in Paris! - Excellent!
4596,le Beaucour,Paris,French - Bar - European,4.0,$$ - $$$,104.0,Great place for lunch  - great service! - Lovely French Brassiere
4597,Les Grandes Marches,Paris,Grill - French - European,3.5,$$ - $$$,518.0,Good food good service bad internet - nice brasserie
4598,Cafe Le Libre Echange,Paris,French - Bar - Cafe - European - Vegetarian Friendly,4.0,$$ - $$$,118.0,Nice Place to Eat - Wonderful meal
4599,Come Prima Pizzeria,Paris,Pizza,4.5,$,22.0,Tasty pizza - Good pizza - good price
4600,Bachaumont,Paris,French - European,3.5,$$ - $$$,186.0,Quite nice place - Good place for lunch
4601,Chalizar,Paris,Middle Eastern,4.0,$$ - $$$,47.0,Good food and the most kind service ever - Good food
4602,Flam's Colisee,Paris,French - European,3.5,$,210.0,Average - Dinner
4603,Bistrot Marguerite,Paris,French - Bar - European - Vegetarian Friendly,3.5,$$ - $$$,191.0,Quick stop - Okay
4604,Le Maine Cafe,Paris,French - Bar - Cafe - European,3.5,$$ - $$$,109.0,Nice got chocolate and coffee - Quick snack
4605,Casa de Espana,Paris,Spanish,4.0,$$ - $$$,165.0,Paella for Monika - Delicious!
4606,Capriccio,Paris,Italian,4.5,$,46.0,Bravissimo! - Excellent Italian cuisine in Paris
4607,Tofuya,Paris,Japanese,4.5,$$ - $$$,22.0,Great for a tasty and healthy lunch - A new japanese concept bar in Paris about
4608,Don's,Paris,Japanese - Vegetarian Friendly,4.5,$,44.0,Wonderful healthy lunch - Japanese
4609,Com Viet,Paris,Asian - Thai - Vietnamese,4.0,$$ - $$$,72.0,Good neighbourhood restaurant - Nice place
4610,Brasserie Le Galopin,Paris,French - European,4.0,$$ - $$$,91.0,Worst food ever - Lovely place for lunch
4611,Micka Falafel,Paris,Fast Food - Middle Eastern - Egyptian - Vegetarian Friendly,4.0,$,63.0,Nice quick snack - OMG
4612,La Croissanterie,Paris,French,4.0,$,112.0,Good Spot for a break - Good for breakfast
4613,Amo,Paris,Asian - Korean,4.0,$,46.0,Great to live close to this place!
4614,Marlusse et lapin,Paris,,4.5,,46.0,Drinking den with an eclectic taste in fur
4615,Al Wady,Paris,Lebanese - Mediterranean - Middle Eastern,4.0,$$ - $$$,88.0,Cold Mezzes - Good libanese  - nice atmosphere
4616,My Coffe & Ice,Paris,French - Diner - Cafe,5.0,$$ - $$$,29.0,
4617,Le CK ( Comptoir Kleber ),Paris,French,4.0,$$ - $$$,51.0,Comptoir Kléber is Cute - Warm - and Delicio
4618,My Boat,Paris,French,3.5,$$ - $$$,94.0,Great lunch spot - good food
4619,Bistrot Montsouris,Paris,French,4.0,$$ - $$$,78.0,They dont speak English - Really good for Normandy seafood
4620,Bomby's Cafe,Paris,French,4.0,$$ - $$$,44.0,Cosy and friendly little bistro! - Fab little Bistro
4621,NOUN,Paris,Mediterranean,4.5,$$ - $$$,41.0,Great and fun ! - Great concept - excellent food - a certain
4622,Bocamexa,Paris,Mexican - Vegetarian Friendly,4.0,$,22.0,Good food and chilled style! - Excellent chicken tacos and burritos!!
4623,Mazaj,Paris,,5.0,,12.0,
4624,Ikra,Paris,European - Russian - Eastern European - Vegetarian Friendly - Vegan Options,4.5,$$ - $$$,309.0,Excellent food - drinks - atmosphere and sta
4625,NATA REPUBLIC,Paris,European - Street Food - Mediterranean - Portuguese,5.0,$$ - $$$,18.0,Amazing grilled veggie sandwiches! - Great Portuguese Cafe in Paris
4626,Le Cardinal Saint-Germain,Paris,French - Bar - European - Pub,4.5,$,49.0,Friendly Service
4627,Le Chazelles,Paris,,4.5,,22.0,Great!
4628,La Bellevilloise,Paris,French - Contemporary - Vegetarian Friendly,3.5,$$ - $$$,268.0,business lunch - Live Kuku performance!!!
4629,Rachiny Thai,Paris,Thai,4.5,$,29.0,Overall - Good Experience - Decent reasonably priced place
4630,Da Pippo,Paris,Italian - Mediterranean - European,4.0,$$ - $$$,143.0,Solid Neighborhood Italian Place
4631,Restaurant Tibetan Kunga Yak,Paris,Asian - Soups - Tibetan - Vegetarian Friendly,3.5,$$ - $$$,106.0,Pleasant Enough - Bad and tasteless food
4632,Lobster and Beef,Paris,French - Seafood - Pub - Gastropub,5.0,$,16.0,
4633,Sheezan,Paris,Indian - Middle Eastern - Pakistani,4.0,$,62.0,quick delicious bite - not more - good food in india / Paskistani value rest
4634,Comptoir Vietnam,Paris,,4.5,,16.0,Tasty typical Vietnamese food - Hidden gem
4635,Bianca,Paris,Italian - European,4.0,$$ - $$$,71.0,Good quality Italian place - Nice place good quality
4636,La Villa Foch,Paris,French - European,3.5,$$ - $$$,66.0,Convenient restaurant - Pleasant place for a meal
4637,L'Etoile du Nord,Paris,French - Bar - European - Vegetarian Friendly,3.5,$$ - $$$,271.0,Simple menu and quite nice - Good pre -train spot
4638,The BlindPig Pub,Paris,French - Brew Pub,4.0,$$ - $$$,105.0,Very Good Fish - Cool Pub Ambiance - Cool bar
4639,Le Zinc de Clovis,Paris,Seafood,4.5,$$ - $$$,25.0,Good food better service - Always Worth Revisiting When In Paris
4640,Queen Ann,Paris,French,4.5,$$ - $$$,61.0,hidden café gem - Best place for hot chocolate
4641,La Fiorentina,Paris,Italian,4.0,$$ - $$$,53.0,Great pizzas - friendly service - Amazing pizza
4642,La Luna Pizzeria Restaurant Italien,Paris,Italian - Pizza,4.5,$$ - $$$,36.0,Great place and friendly owner
4643,Via Roma,Paris,Pizza,4.5,$,54.0,Amazing pizza!
4644,Pasta Luna,Paris,,4.5,,19.0,Great Spot for a Sandwich - An amazing sandwich
4645,Chez Chloe,Paris,Vietnamese - Vegetarian Friendly,4.0,$$ - $$$,57.0,Food was ok but not fresh - Tasty - but - Not Good Value
4646,Augustin,Paris,French,4.5,$$ - $$$,12.0,Amazing burger - Friendly Place
4647,Le 154,Paris,,4.0,,60.0,Wonderful find near 2 great museums - So helpful
4648,La Petite Fabrique,Paris,French - Vegetarian Friendly,4.0,$$ - $$$,84.0,Healthy  - organic food at a trendy venue i
4649,Les Majorettes,Paris,French - Bar - European,4.5,$,32.0,Dont Pass This Restaurant Up - Good food - good price with great service
4650,Pema Thang,Paris,Asian - Tibetan - Vegetarian Friendly - Vegan Options,4.0,$$ - $$$,69.0,Warm Welcome and Veggie menu - Friendly Tibetan restaurant
4651,Jolis Momes,Paris,French,4.5,$$ - $$$,59.0,pretty good price - Not worth it!
4652,La Mere Agitee,Paris,French,4.0,$$ - $$$,97.0,Always good - Worst group meal ever - truly shameful
4653,Au Vieux Cedre,Paris,Vegetarian Friendly,4.5,$,25.0,Excellent takeout place - Very good take out  - excellent service
4654,La Perle Rouge,Paris,French - Portuguese,4.5,$$ - $$$,58.0,Delicious - Great food for a very decent price
4655,Super Nature,Paris,Vegetarian Friendly,4.0,$$ - $$$,63.0,is it really a brunch restaurant? - Love it love it love it!
4656,Les Petits Celeste,Paris,Brazilian - Portuguese - South American - Spanish,4.5,$,25.0,Tapas - Great restaurant
4657,Creperie du Vieux Journal,Paris,French - European - Vegetarian Friendly,4.0,$,89.0,Rustic Charm - Amazing crepes in a homely atmosphere
4658,Le 144 Bagel's,Paris,Vegetarian Friendly,4.5,$,61.0,Breakfast/lunch - Nasser
4659,Le Grenelle de Pekin,Paris,Chinese,4.5,$$ - $$$,41.0,Whod have thought
4660,Tete a Tete,Paris,Asian,4.0,$$ - $$$,50.0,I miss Chinese food!!! - Nice restaurant and boss
4661,Le Casque d'Or,Paris,French - Wine Bar,4.0,$$ - $$$,57.0,Village restaurant - Kings of tiramisu
4662,LE PETIT NICOLI,Paris,Wine Bar,5.0,$$ - $$$,12.0,
4663,Cafe Charlot,Paris,French - Bar - Cafe - European,3.5,$$ - $$$,539.0,Great Food and Nice Atmosphere - Nice mid day break
4664,Cafe Chappe,Paris,French - Bar - Cafe - European,3.5,$$ - $$$,231.0,Recomended - Good for a smart lunch
4665,La Timbale,Paris,French - European,4.0,$$ - $$$,98.0,Friendly - good food - good price - Charmy Spot in Montmarte
4666,Sandwicherie C.Comme Chez Vous,Paris,French,4.0,$,35.0,Sandwich in or take away - Croque Monsieur
4667,Verre & Chope,Paris,French,5.0,$,12.0,Best Meal in Paris
4668,Le Thai 18,Paris,Thai,4.5,$,34.0,Yum - Nice restaurant!
4669,L'Auberge Cafe,Paris,French - European,4.0,$$ - $$$,195.0,Ooh la la - Unfriendly - Unfresh food
4670,Aux sportifs reunis,Paris,,4.0,,35.0,
4671,Guo Xin,Paris,Chinese - Asian,4.0,$,87.0,Nice dumpling and ramen - Yummy aubergines !
4672,Trattoria Napoletana Da Enzo,Paris,Italian - Pizza,4.0,$,56.0,Lovely Pasta and good deserts - What is a PIZZA?
4673,L'Affranchi,Paris,French - Bar - Pub - Diner,5.0,$$ - $$$,18.0,Convivial and good neighborhood bistro - Very cozy - tourist -free - neighbourhood res
4674,L'Oustal,Paris,French - Bar - European - Pub,4.0,$$ - $$$,87.0,Mixed review - Good decent restaurant
4675,Prik Thai,Paris,Asian - Thai - Vegetarian Friendly - Vegan Options,4.5,$,88.0,Genuine Thai - inexpensive and good food - W
4676,La Grande Muraille de Pekin,Paris,Chinese - Thai - Vietnamese - Vegetarian Friendly,4.5,$,12.0,Wonderful dishes made by a wonderful famil
4677,L'Heure Gourmande,Paris,French - European - Vegetarian Friendly,4.0,$$ - $$$,127.0,Just the place for a relaxed afternoon tea
4678,Les Caves Angevines,Paris,French - European - Wine Bar,4.5,$$ - $$$,135.0,More food after Roland Garros - Good straightforward local restaurant
4679,Chez Alberto,Paris,,4.5,,23.0,Fantastic option
4680,Le Piano Vache,Paris,Pub,4.0,$$ - $$$,88.0,Cracking little find
4681,Square Gardette,Paris,French - European - Vegetarian Friendly,4.0,$$ - $$$,227.0,Great Surprise! - Delightful afternoon break!
