Restaurant Name,Address ;
Class'Croute  - FERMÉ,41 Avenue Kléber - 75116 Paris France;
LA CARAVANE PASSE,100 Rue Damrémont - 75018 Paris France;
CHEZ DING,15 Rue Lamartine - 75005 Paris France;
NA,NA;
Chez Taeko,39 rue de Bretagne - 75003 Paris France;
Cafe Suedois,11 rue Payenne - 75003 Paris France;
Chez Bob de Tunis,10 rue Richer - 75009 Paris France;
Café L' Imprimerie,29 Rue Coquillière - 75001 Paris France;
Le Gallia,39 - rue Saint -Ambroise angle rue Saint -Maur - 75011 Paris France;
La Table de l'Ébéniste,75 rue Boursault - 75017 Paris France;
Marco Polo,1 rue Saint -Sulpice - 75006 Paris France;
Amarena Ristorante,88 -90 Rue Mouffetard Quartier Latin - 75005 Paris France;
l'Estaminet Aromes & Cepages,39 rue de Bretagne - 75003 Paris France;
Auberge St Antoine  - FERMÉ,243 Rue du Faubourg Saint Antoine - 75011 Paris France;
Casa Gardelli,65 Rue de Chabrol - 75010 Paris France;
Yamakawa,70 rue Pierre Demours - 75017 Paris France;
La Bocca,59 rue Montmartre - 75002 Paris France;
Sushi Cherie,13 boulevard Auguste Blanqui - 75013 Paris France;
Vila real,10 Rue de Domremy - 75013 Paris France;
Sushi L.j,17 rue Guy Moquet - 75017 Paris France;
NA,NA;
Umi,119 bis rue Cardinet - 75017 Paris France;
Bagelstein  - FERMÉ,102 Rue Montmartre - 75002 Paris France;
Au P'tit Comptoir,55 Rue Reaumur - 75002 Paris France;
SOYA,20 rue de la Pierre Levee - 75011 Paris France;
Mavrommatis  - FERMÉ,1 - Le Palais des congrés 2 Place de la Porte Maillot - 75017 Paris France;
Pâtisserie Viennoise,8 Rue de l'École de Médecine - 75006 Paris France;
ELSE,49 - Rue Berger - 75001 Paris France;
Sushi Sun,118 rue des Entrepreneurs - 75015 Paris France;
Jiso,13 Rue du Vertbois - 75003 Paris France;
Restaurant Le Sarrasin,61 Grande Rue - 93250 Villemomble France;
Thevenin Saint Placide,5 rue Notre Dame des Champs - 75006 Paris France;
Super Vegan,118 Rue Des Moines - 75017 Paris France;
The Hardware Societe,10 rue Lamarck - 75018 Paris France;
Wanted Restaurant Italien,46 bis rue de Meaux Halle Secretan - 75019 Paris France;
Bubble My Tea,5 Rue de Mirbel Métro ligne 7 station Censier Daubenton - 75005 Paris France;
Virtus,29 rue de Cotte - 75012 Paris France;
Les Demoiselles,76 Rue de Charonne - 75011 Paris France;
Brasserie Tabac Saint Germain,120 rue de Bagnolet - 75020 Paris France;
Showcolat,21 Rue de Rochechouart - 75009 Paris France;
top sushi,54 rue Monsieur le Prince - 75006 Paris France;
TEAthétcha Le Comptoir de L'Artisan de Saveurs,119  - rue de la Glacière - 75013 Paris France;
NA,NA;
Bleu Ciel,24 rue Rene Boulanger - 75010 Paris France;
Babao 14  - FERMÉ,29 Avenue du General Leclerc - 75014 Paris France;
Marzo,5 rue Paul Louis Courier - 75007 Paris France;
NA,NA;
Fajitas,15 rue Dauphine - 75006 Paris France;
Restaurant Sepna,42 avenue de Clichy - 75018 Paris France;
Café Fluctuat Nec Mergitur,18 place de la République - 75010 Paris France;
Yummy Bar,98 boulevard de l Hopital - 75013 Paris France;
Le grenier à Pain,127 - rue Caulaincourt - 75018 Paris France;
Hoa Nam,51 Avenue d Ivry - 75013 Paris France;
NA,NA;
Le Fleur Bleu  - FERMÉ,22 Rue de Fleurus - 75006 Paris France;
Daemluy,161 rue de Picpus - 75012 Paris France;
L'Atypic,51 Rue du Theatre - 75015 Paris France;
NA,NA;
Restaurant Champeaux,12 Passage de la Canopée Westfield Forum des Halles - 75001 Paris France;
L'inédit cafe,4 - Rue Taine - 75012 Paris France;
Les Crocs,14 rue de Cotte - 75012 Paris France;
NA,NA;
Scoop Me a Cookie ,5/7 Rue Crespin Du Gast - 75011 Paris France;
Mexindiana,5 Rue du Hainaut - 75019 Paris France;
La Terrasse  - Hotel Raphael,17 Avenue Kléber - 75116 Paris France;
Patuco,4 Rue de la Fontaine au Roi - 75011 Paris France;
Crep' and tea,10 rue Bremontier - 75017 Paris France;
En cas d'encas,9 rue Rennequin - 75017 Paris France;
El Picaflor,9 rue Lacepede Une petite terrasse Efemere est à votre disposition - 75005 Paris France;
Han Lim,6 rue Blainville - 75005 Paris France;
Les 2 au coin,7 Rue Notre Dame de Bonne Nouvelle - 75002 Paris France;
A La Boulangerie de Toutes Vos Envies,4 boulevard Vincent Auriol - 75013 Paris France;
JAMES BUN,10 Boulevard des Batignolles - 75017 Paris France;
Fellini,47 rue de l Arbre Sec - 75001 Paris France;
Le Ruban Rouge,36 Rue du Colisée - 75008 Paris France;
Restaurant Raviolis,47 rue de Belleville - 75019 Paris France;
Yushima,5 rue de Lappe - 75011 Paris France;
Les Pissenlits Par La Racine,11 rue de la Butte aux Cailles - 75013 Paris France;
Alimento,9 rue de Pontoise - 75005 Paris France;
Restaurant TAO,54 Avenue Des Gobelins - 75013 Paris France;
Carotte Bleue,102 Rue Doudeauville - 75018 Paris France;
Le Petit Acacia,58 rue des Acacias - 75017 Paris France;
La Coulée Douce,51 rue du Sahel - 75012 Paris France;
Le Monde Du Macaron Paris 5,106 Rue Mouffetard - 75005 Paris France;
Le Comptoir du 16,24 boulevard Exelmans - 75016 Paris France;
Fitzgerald,54 Boulevard de la Tour Maubourg - 75007 Paris France;
Dindigul Thalappakatti,176 Rue du Faubourg Saint -Denis - 75010 Paris France;
La Laiterie Sainte Clotilde,64 rue de Bellechasse - 75007 Paris France;
Le Petit Baiona,90 rue de Charonne - 75011 Paris France;
Aoi Sushi,10 rue Jean Jacques Rousseau - 75001 Paris France;
Indochine Express,25 rue de Clichy - 75009 Paris France;
The Frog at Bercy Village,25 Cour Saint Emilion - 75012 Paris France;
Assanabel,6 Rue Pierre Chausson - 75010 Paris France;
NA,NA;
Les prolongations,76 boulevard de Grenelle - 75015 Paris France;
l'Orient d'Or,22 rue de Trevise - 75009 Paris France;
Eat Sushi Paris 12,13 rue de Wattignies - 75012 Paris France;
Maison Fabien Foenix,6 rue Descombes - 75017 Paris France;
Pedzouille,66 Rue du Faubourg Poissonniere Près du métro Poissonnière - 75010 Paris France;
Au Merveilleux de Fred,24 - Rue de Pont Louis Philippe - 75004 Paris France;
Kook Il Kwan,12 rue Gomboust - 75001 Paris France;
Akasaka,9 rue Nicolo Passy -Muette - 75116 Paris France;
NA,NA;
NA,NA;
Woo Jung,8 boulevard Delessert - 75016 Paris France;
Le Filippo,54 rue Cambronne - 75015 Paris France;
Le Grand Bistrot,7 Rue Saint Severin - 75005 Paris France;
NA,NA;
Au Pied de Fouet,3 rue Saint Benoit - 75006 Paris France;
Reset,17 rue du Cygne - 75001 Paris France;
Kuccini,165 Rue St Denis - 75002 Paris France;
Ni Vu Ni Connu  - FERMÉ,13 rue Pierre Fontaine - 75009 Paris France;
Léon De Bruxelles,183 - Boulevard Mc Donald - 45770 Paris France;
La Gauche Caviar,28 Rue Saint -Benoît - 75006 Paris France;
L'assiette aux fromages,25 rue Mouffetard - 75005 Paris France;
Chez Paulette,3 rue Crozatier - 75012 Paris France;
Le Borromée,224 rue de Vaugirard - 75015 Paris France;
Cojean Roosevelt,55 Avenue Franklin Delano Roosevelt - 75008 Paris France;
Aux Bons Amis,1 rue de l Atlas - 75019 Paris France;
Haagen -Dazs,12 rue Linois - 75015 Paris France;
NA,NA;
Nomiya,6 rue d Alleray - 75015 Paris France;
